input,state,target,rf_prediction,ridge_prediction
1.907103379063353477e-01,3.747614910696651647e-01,4.047361245475954439e-01,4.096113676565072970e-01,3.861097666593460431e-01
5.676521815918073033e-02,2.937591303689199296e-01,3.860759431080457160e-01,3.430558772588128136e-01,3.961733036196793400e-01
4.436737340051430389e-01,5.096069968129007810e-01,3.263996265481423631e-01,3.386259746294132400e-01,3.830553056230542319e-01
1.581367077149531397e-01,3.393187146356425599e-01,5.539766612395198297e-01,3.751669000408769383e-01,3.896856438400478906e-01
1.959097632994100113e-01,3.791069655749860212e-01,4.117390145297186166e-01,3.986451034483963207e-01,3.857570542346895337e-01
3.492831528643183248e-01,3.802612322404618217e-01,3.942339318147995986e-01,4.039118769053771096e-01,3.856664524131980798e-01
6.096240828761806396e-02,2.968824401696192883e-01,4.202684075519339535e-01,3.545582886986212157e-01,3.956589323844230122e-01
3.518990720590176036e-02,2.872409186109387003e-01,3.163156964620491562e-01,4.303882035257567407e-01,3.972802097676737532e-01
2.473459193597403738e-01,4.271787772900971225e-01,2.623774107299572944e-01,3.689423878176578131e-01,3.830496478974156349e-01
1.383921450709484358e-01,2.977651146785125769e-01,3.299823086969592145e-01,3.493140695650515104e-01,3.955154435758437281e-01
1.991173106790574687e-01,2.964071538955997953e-01,3.013812795524976051e-01,3.431659084594069764e-01,3.957365379897497260e-01
4.903154692754601029e-01,5.608021183287112965e-01,2.631657711017073575e-01,3.558132376534826058e-01,3.855432832219467532e-01
1.882551756146211286e-03,2.712848794117140305e-01,5.523644430965258811e-01,5.776543934357456500e-01,4.001815723300499172e-01
4.282604480837849392e-01,4.556959537312648689e-01,3.712654496245740843e-01,3.474655669764665777e-01,3.824274784388518866e-01
2.254989232258980403e-01,3.841993185109087716e-01,4.044867152316917736e-01,4.117712835483448020e-01,3.853670470231615464e-01
2.775416600277431645e-01,3.734035302867525496e-01,4.126184676918852601e-01,3.849101405734826065e-01,3.862237689241546090e-01
3.248797092665062225e-01,4.123770047563482533e-01,3.241423894321031618e-01,3.904457504149405067e-01,3.836549286676300130e-01
1.527950836641397969e-01,3.598239224576250117e-01,2.717338553571265747e-01,3.168181257338772983e-01,3.874636977090092915e-01
1.797623647862113261e-01,3.608423930448095285e-01,2.856753742457464051e-01,4.780548576933995042e-01,3.873643617049775667e-01
2.268053892617888367e-01,4.102721655428334668e-01,2.732525482918441995e-01,4.438579102445565638e-01,3.837571826459186819e-01
1.187656631885630754e-02,2.763772323476368920e-01,2.969909530756847937e-01,3.845914158658909066e-01,3.992259309323240579e-01
3.471116173709779540e-01,4.700224399909943007e-01,2.491477041458896313e-01,3.554994346889519541e-01,3.823731969463719516e-01
6.213276837871906100e-02,2.974935225219300095e-01,2.185988019831951457e-01,3.520879210037606288e-01,3.955595059541905378e-01
6.927413257597164753e-02,3.001415460486098752e-01,2.394624462599787840e-01,4.167325290551228689e-01,3.951332328665164706e-01
4.498026824498581600e-01,5.152425340619887217e-01,2.309039174684539009e-01,4.278636254894058188e-01,3.832456134871562448e-01
2.324087418712719177e-01,3.710949969558007822e-01,3.888853668961386179e-01,4.080851650733463010e-01,3.864217195414566541e-01
3.277666755690986089e-01,3.382323460093123457e-01,3.839545405153528268e-01,3.998188126508094853e-01,3.898152666583188375e-01
1.599172557693864793e-01,3.110052323119117945e-01,3.448028407594725397e-01,4.164788104724758688e-01,3.934619686856175580e-01
2.200611803863071203e-01,4.223580165107568840e-01,2.967591901674100363e-01,3.859029657363876042e-01,3.832250777098603067e-01
1.635176781051322914e-01,3.445468636498565940e-01,3.072621190186661799e-01,3.661063525581297884e-01,3.890786855768654795e-01
1.561670686199839175e-01,3.408803695359922115e-01,2.405168167452968464e-01,3.605686975019524176e-01,3.895014247238932081e-01
4.195451972409479646e-01,4.136670675001153374e-01,2.883446216229158532e-01,3.466265675784500622e-01,3.835942662501724554e-01
1.248930824291765163e-01,3.224800009275244905e-01,2.679839594605440967e-01,3.523816421251478315e-01,3.918312443714674909e-01
7.878790075603808729e-02,3.044191225147850344e-01,2.334215165776195866e-01,3.602751919299430616e-01,3.944603140423798004e-01
1.746729829537998491e-01,3.432568009060895653e-01,2.579978608075315094e-01,3.615916249883678324e-01,3.892258660149092164e-01
2.293598181724684770e-01,3.124310911339701624e-01,2.771204105523623618e-01,3.845891168799417392e-01,3.932518382429936454e-01
8.473716146878235156e-02,3.049623068279501137e-01,3.360578989943980854e-01,3.469446814688382230e-01,3.943762471821913862e-01
3.757323949928526030e-01,4.736889341048586277e-01,2.690365121073792221e-01,3.528462393775974038e-01,3.823859557937563936e-01
4.606743762657936059e-01,5.540123144141475553e-01,3.420592274896440133e-01,4.225967449166989631e-01,3.851206958758659482e-01
4.248657640258233781e-01,5.344576791402040339e-01,3.638373214194564609e-01,4.131614408614332490e-01,3.840557677051281149e-01
8.941826166474492465e-02,3.065918597674454071e-01,3.610029074269097693e-01,3.620488139214086409e-01,3.941259137985246852e-01
8.006393261204225453e-03,2.754945578387435479e-01,3.186671745946663137e-01,3.845914158658909066e-01,3.993895783630749818e-01
1.966183292145853301e-01,3.588054518704404394e-01,2.453332882698864292e-01,3.371966403907608045e-01,3.875640687332949086e-01
1.528408657037190199e-01,2.907716166465119656e-01,2.336923163417734539e-01,4.372742534077634358e-01,3.966750165019095054e-01
4.537400905834990672e-01,5.408400948198938130e-01,2.452634408692720702e-01,4.173075081204142278e-01,3.843777024671024001e-01
3.072629986748013908e-01,3.615892714754115334e-01,3.663759245554197852e-01,4.805330390265733498e-01,3.872921723201838140e-01
7.320675907458384923e-02,3.013637107532313175e-01,3.054138521911780035e-01,3.512527915042495397e-01,3.949389961719438902e-01
2.651975312456768541e-01,3.867115459592973536e-01,2.794694085735863753e-01,3.574090052077077417e-01,3.851838596163235096e-01
2.982506427993237841e-01,3.780884949878014489e-01,4.098697815120215804e-01,3.955218819611012737e-01,3.858380714475999063e-01
2.372475595473894083e-02,2.805869107746663538e-01,4.771582641159265448e-01,3.564743602520624721e-01,3.984569627108234258e-01
3.748990831439830695e-01,3.699407302903249262e-01,3.236828511003421727e-01,4.098863449435413697e-01,3.865226575724410862e-01
4.543359688637558236e-01,5.760112790973339614e-01,2.534762237213759040e-01,4.319859506710019281e-01,3.865817254103956491e-01
2.936358448337426097e-01,4.544058909874976737e-01,3.498314487825128771e-01,4.376491813754593840e-01,3.824406493560489895e-01
1.671299561462626926e-01,3.983221106532013889e-01,3.290155152042507081e-01,3.713880938675751531e-01,3.844155277955095817e-01
1.951771492491591875e-01,3.395903067922251273e-01,3.673932953078268282e-01,3.598993540393491397e-01,3.896534267348454317e-01
4.299371747754157091e-01,4.658127615639647279e-01,3.637640845420847535e-01,4.002562847916786293e-01,3.823718161566600493e-01
1.297120835226374114e-01,3.231589813189809091e-01,3.192550436551560566e-01,3.906723966870782605e-01,3.917390557054927225e-01
4.846181001921870957e-01,5.886403143784224579e-01,3.028127957078370347e-01,3.939099282315657868e-01,3.875342097233414052e-01
1.455350602452914477e-01,3.230910832798352672e-01,4.605859312669909889e-01,3.662803788631604496e-01,3.917482530099499760e-01
4.471469275300923862e-01,5.745854202752755935e-01,3.250393046802328989e-01,4.329706829756206354e-01,3.864791840427832526e-01
4.324578646377606472e-01,5.358835379622624018e-01,5.041373408610273499e-01,4.078830854887170454e-01,3.841254718196351337e-01
4.925047741631791154e-01,6.720191064492651023e-01,6.360853352471557143e-01,3.584011357159062605e-01,3.953836488650902536e-01
2.935009890894073048e-01,4.374313812010884317e-01,6.336299302768206854e-01,3.602471685490474806e-01,3.827450392136741986e-01
1.456739897801357930e-01,3.171160558350192282e-01,4.980521825381225565e-01,3.824592197904252977e-01,3.925764100665086187e-01
1.727170889468872539e-01,3.344979538563023214e-01,4.019033196268506636e-01,3.729660783514189282e-01,3.902700678096734932e-01
4.338829593709897514e-02,2.894136558635991840e-01,4.212855851735844981e-01,4.538873928642494504e-01,3.969062099631757712e-01
1.362156745582147610e-01,3.247885342584761470e-01,3.296756128970356192e-01,3.545126204386070956e-01,3.915197568530959238e-01
2.478447933367445843e-01,3.189493028919513917e-01,3.723162757691809155e-01,4.182517710911753950e-01,3.923183591816734039e-01
3.317982491720632421e-01,4.474802909946425933e-01,3.511109343658900261e-01,3.971750219808899418e-01,3.825352140969315862e-01
1.019501475428914450e-01,3.105299460378923571e-01,5.064072322706616447e-01,3.694315878407651854e-01,3.935324864649575871e-01
2.787441392261106321e-01,3.488923381551773950e-01,4.359121344331071679e-01,4.503485056354996630e-01,3.885953523119759501e-01
4.162050641636848569e-01,4.649979850942170256e-01,5.366607723293439491e-01,3.988161355680878151e-01,3.823732006357144497e-01
1.448764441729438746e-01,3.401334911053902066e-01,5.646317380999764657e-01,3.598993540393491397e-01,3.895892186885236974e-01
1.400404872492494457e-01,3.400655930662445092e-01,4.257725186590953781e-01,3.598993540393491397e-01,3.895972282076443638e-01
2.569491610969149020e-01,3.648483773544021758e-01,3.565263069579394095e-01,3.713615330022893568e-01,3.869836555989224491e-01
4.671253484066945072e-01,4.935151615353847165e-01,3.003392594932545734e-01,3.883119413170751932e-01,3.826363132317865401e-01
3.890644353589243765e-01,4.203210753363878505e-01,3.483076555372003336e-01,3.233918980758837547e-01,3.833054694365782278e-01
3.117620536112654661e-01,4.516899694216721661e-01,4.222432011950767450e-01,4.216896318805156141e-01,3.824729233280046992e-01
3.539710541552249512e-01,4.554243615746821905e-01,4.715187085345364792e-01,3.474655669764665777e-01,3.824301360642965442e-01
1.478832631584667268e-01,2.740686990166851800e-01,3.985739334598080719e-01,4.048467068969138216e-01,3.996557002489983801e-01
3.440779481036236320e-01,4.569181184358862557e-01,3.663105071117271905e-01,3.745437104240620929e-01,3.824162777874090535e-01
3.538034236027529089e-01,4.495172321690118489e-01,5.014618820140591682e-01,3.902758552874417419e-01,3.825032037351389080e-01
3.586934817357754768e-01,3.774095145963450859e-01,4.315211364123098248e-01,4.066823315467316124e-01,3.858926433257882094e-01
2.527246708632560068e-01,3.782921891052383745e-01,3.915950649818732421e-01,3.961384671380412947e-01,3.858217873427391420e-01
4.436670905539005783e-01,5.094033026954638554e-01,3.929764497025995951e-01,3.388892707065964127e-01,3.830488420833325636e-01
4.976179256700206666e-01,6.427550515774955731e-01,6.078486712094045563e-01,4.044425747124023585e-01,3.923809361246954897e-01
3.565331670832076472e-01,4.460544321725842809e-01,7.044336359457192831e-01,3.963459276663062747e-01,3.825597169359124528e-01
4.121699515358872579e-01,4.267713890552233269e-01,6.431966223593785781e-01,3.849119766052811475e-01,3.830636700146726192e-01
7.790598577458179852e-02,3.032648558493091784e-01,6.696899873798685121e-01,3.902718273982618280e-01,3.946399902572323981e-01
4.287032827526207623e-01,4.925645889873457861e-01,4.892141764969268891e-01,3.890491111633588850e-01,3.826174845687680404e-01
2.968429587801362790e-01,4.386535459057098185e-01,5.951781057569218714e-01,3.615396767473317841e-01,3.827148692072481762e-01
8.855483254535168047e-03,2.722354519597529610e-01,5.975945374227280560e-01,5.776543934357456500e-01,4.000010688417233728e-01
3.639061071774076783e-01,4.609241027454788475e-01,4.490761206733078215e-01,4.678880941487528755e-01,3.823882263311839114e-01
3.073560402316088958e-02,2.814695852835596424e-01,4.970870371282678502e-01,3.613916866361856495e-01,3.982981371412703253e-01
2.955583771352518485e-01,3.594844322618968580e-01,4.099156863254109773e-01,3.168181257338772983e-01,3.874970396473330636e-01
1.300972251969167437e-01,3.210541421054661226e-01,5.596598602127155209e-01,3.552117949297464716e-01,3.920264012006217103e-01
2.026385853220897815e-01,2.867656323369193183e-01,4.945997081840556309e-01,4.207173118726307837e-01,3.973626938223691618e-01
2.279631895851287893e-01,3.262143930805345704e-01,5.073330262772923760e-01,3.437838082058505829e-01,3.913301305771706984e-01
4.230007489000042753e-01,5.278036713039316874e-01,4.125051729945999890e-01,4.823122264812547133e-01,3.837476815544191289e-01
6.495371686195505756e-02,2.948454989952501437e-01,5.991414335575862005e-01,4.028543195402864985e-01,3.959932164855728409e-01
2.619982745337537389e-01,3.375533656178559272e-01,4.621068482098587005e-01,4.072497271767759330e-01,3.898968943154862421e-01
1.308533465685203789e-01,3.219368166143594112e-01,3.573852387077638415e-01,3.545318501987001492e-01,3.919053404202264557e-01
5.021495649744506240e-02,2.885988793938515373e-01,3.635008016886323023e-01,4.559318163491935527e-01,3.970458696893252593e-01
1.965587547601423402e-01,3.880695067422101352e-01,2.961198006896016421e-01,3.916829913741459723e-01,3.850873627830235790e-01
5.160871830066071642e-02,2.907716166465119101e-01,3.420461093338188485e-01,4.372742534077634358e-01,3.966750165019095054e-01
1.105543895369746621e-01,3.136532558385917158e-01,2.878393963062253480e-01,3.912785109145609508e-01,3.930734237586723245e-01
3.587081938407752357e-01,4.266355929769319877e-01,2.792877079959118491e-01,3.868763750462994033e-01,3.830683768951089196e-01
2.137702291583687408e-01,3.545957734434109776e-01,3.610072701968787268e-01,3.730332128369769351e-01,3.879899454469134534e-01
3.863140673572874051e-01,4.753863850834996185e-01,4.118259617607090695e-01,3.484736837081643945e-01,3.823954728943620984e-01
3.637138223319016372e-01,4.426595302153024103e-01,3.386152366081635057e-01,3.480361847068302872e-01,3.826250420868161917e-01
3.115749076126919648e-01,4.375671772793796599e-01,4.037763309085192764e-01,3.602471685490474806e-01,3.827416228972877477e-01
7.725672921159559836e-02,2.993946676180078703e-01,3.517666993954926546e-01,3.372046454067081367e-01,3.952527114844954226e-01
1.644347190800041214e-01,3.653915616675672551e-01,2.717789177658021527e-01,3.713867713608970389e-01,3.869332609738107553e-01
4.286590445411005978e-01,4.874043380122773383e-01,2.754575977726302360e-01,3.625925580235132561e-01,3.825270915470327382e-01
1.954004805670530587e-01,3.304240715075640322e-01,2.615939010824996913e-01,4.108291586558541209e-01,3.907825613046774782e-01
4.572344822448178303e-01,4.679176007774795143e-01,2.532985258461967204e-01,4.147346239647157762e-01,3.823707239161097671e-01
3.685354169525870693e-01,4.454433498202735597e-01,4.626444434124461491e-01,3.974447161065143841e-01,3.825707482145853100e-01
3.781594398349027997e-01,4.461223302117299783e-01,4.354252426906649598e-01,3.963459276663062747e-01,3.825585108918944099e-01
4.086705894481990065e-02,2.852718754757153086e-01,5.252232153667270032e-01,3.759944635613367003e-01,3.976235002183751699e-01
4.514479588669743082e-01,4.778986125318881450e-01,3.738667647085920365e-01,3.953469188331621975e-01,3.824137192909444760e-01
3.032853076391228697e-03,2.713527774508596724e-01,4.907230840174681141e-01,5.776543934357456500e-01,4.001686469713647276e-01
3.146546679994765006e-01,4.112227380908723973e-01,3.383957931135414543e-01,4.273939032971962870e-01,3.837104992370646839e-01
1.055862116883566904e-01,3.118200087816594968e-01,3.415360446673855188e-01,3.976786578820080686e-01,3.933416328898468595e-01
2.230064222701321763e-01,3.471269891373908179e-01,3.345289741799353234e-01,4.026432568238517695e-01,3.887893975254785306e-01
2.934853515219653097e-01,3.278439460200298639e-01,3.295708373572395211e-01,3.414700682042599578e-01,3.911159941346164515e-01
2.208302772191425012e-01,3.602992087316444492e-01,4.641813291876546455e-01,3.322968978531683493e-01,3.874172121879135289e-01
1.070313300481515739e-01,3.139927460343198140e-01,4.563966241837950077e-01,3.985705367066167959e-01,3.930241420036693634e-01
3.409915958022348148e-01,4.160434988702125803e-01,3.909609879442603741e-01,3.381867989309083056e-01,3.834865023623259539e-01
3.795141887663813218e-01,4.429311223718849777e-01,3.172706413645590140e-01,3.955795639085923354e-01,3.826194527039957771e-01
2.705598226800043915e-01,3.534415067779351216e-01,5.130527622375119501e-01,3.602963767567057274e-01,3.881098236628391374e-01
4.364245388288536809e-01,4.948052242791519117e-01,3.571573997750352447e-01,3.615089500120861610e-01,3.826629410610535298e-01
2.594772746030596933e-01,3.541204871693914291e-01,4.817604596448751275e-01,3.581915510829741800e-01,3.880391448807243293e-01
1.611777617952614428e-02,2.786857656785884929e-01,3.816488532434246794e-01,3.461052174569810291e-01,3.988018846914234139e-01
1.185741211639471104e-01,3.196961813225534521e-01,2.967222136466747262e-01,4.168066914272569035e-01,3.922142326768996989e-01
4.350804103161093339e-01,5.032924791723565328e-01,3.003934382248552026e-01,3.452150218997034892e-01,3.828686026896154226e-01
8.625497793031378091e-02,3.048265107496588300e-01,3.937074853554194398e-01,3.469446814688382230e-01,3.943972347093828157e-01
4.348640424330973975e-03,2.731860245077918359e-01,3.085180386669807984e-01,5.776543934357456500e-01,3.998215376160982881e-01
3.504297862856897150e-01,4.281972478772817503e-01,2.524909515835689344e-01,3.646534599681221511e-01,3.830152384470514870e-01
3.298901911076208560e-01,4.403509968843508093e-01,4.207196379484523518e-01,3.475096088153313278e-01,3.826751149393411433e-01
1.408443969669631035e-01,3.325968087602245160e-01,4.380613899197245420e-01,4.565842683105847954e-01,3.905071046273004276e-01
9.927759132354052607e-02,3.096472715289990685e-01,4.031543284667471472e-01,3.753612138470390214e-01,3.936640776965883992e-01
1.483219262013221740e-01,3.345658518954479632e-01,3.337102038850763841e-01,3.758358745991640659e-01,3.902616709488770375e-01
4.241560573675314250e-01,4.782381027276163543e-01,2.625842674547480549e-01,3.953469188331621975e-01,3.824165642205852866e-01
2.649678997190049179e-01,4.084389184859013033e-01,2.989876088679520594e-01,4.109589285947383708e-01,3.838495659573570307e-01
6.633791305029934637e-02,2.957960715432890741e-01,4.136319762140439060e-01,3.396670480346812848e-01,3.958366689645305692e-01
4.280908386714464275e-01,5.110328556349591489e-01,3.055868949871726747e-01,3.479836257782309983e-01,3.831013655132777807e-01
3.760275090099242656e-01,4.836020478201217832e-01,2.469903999507697123e-01,3.802321831192325141e-01,3.824733978592843586e-01
1.033574513085238622e-01,3.117521107425137994e-01,4.134449420583630186e-01,4.175536147030314282e-01,3.933516342584107983e-01
3.433314222068382660e-01,3.615892714754115889e-01,3.482934813793581164e-01,4.805330390265733498e-01,3.872921723201838140e-01
2.130905810461619643e-02,2.801116245006468608e-01,3.373546941881087058e-01,3.672061390355124133e-01,3.985428299553323561e-01
8.253631372394265586e-03,2.760377421519086272e-01,2.611183298665926689e-01,3.845914158658909066e-01,3.992887732165140147e-01
1.067540275963579921e-02,2.763093343084911946e-01,2.222340734230820736e-01,3.845914158658909066e-01,3.992384894869476786e-01
3.558286892884299224e-01,4.079636322118817549e-01,2.080221942342036778e-01,4.087346617476446120e-01,3.838740236877111189e-01
5.721213119080537091e-02,2.940986205646481944e-01,3.356137316575915630e-01,3.441473749961015405e-01,3.961168916268462681e-01
3.053062170636278161e-03,2.733218205860831751e-01,2.582678809350368310e-01,5.776543934357456500e-01,3.997959696417777709e-01
3.121942527458992367e-01,4.055193028026388147e-01,2.173665369632931665e-01,4.117252646827313511e-01,3.840031105007074563e-01
9.417036407861839598e-02,3.090361891766884028e-01,3.722610726485707788e-01,3.491861517288435968e-01,3.937556590654789357e-01
2.589215830290750309e-01,4.165866831833777151e-01,2.816329272610931800e-01,3.389559500509121692e-01,3.834625935068169400e-01
1.467794442248647746e-01,2.998699538920273078e-01,3.578561125353807437e-01,3.410769164333746772e-01,3.951766112877956871e-01
1.332769947884613893e-01,3.234984715147090628e-01,2.630738381380280377e-01,3.926583817508789154e-01,3.916931410345451670e-01
3.937175255720218314e-01,5.060084007381819848e-01,2.171058583684132848e-01,3.702788198120530172e-01,3.829454290279247775e-01
1.815574281256914779e-01,3.096472715289990685e-01,2.011086264472910501e-01,3.753612138470390214e-01,3.936640776965883992e-01
1.311874104260906115e-01,3.228194911232526998e-01,2.845110351091824086e-01,3.549782345678981210e-01,3.917850901386626949e-01
1.632128970796257739e-01,3.242453499453110677e-01,2.362837624162939798e-01,3.738921616299472062e-01,3.915925501363325956e-01
1.241694770935116154e-01,3.195603852442620574e-01,2.034064541793024206e-01,4.168066914272569035e-01,3.922331215076761968e-01
7.024778620251120875e-02,2.987835852656971491e-01,2.459642274361855396e-01,3.313692682460765426e-01,3.953509062144721087e-01
2.289415799947256414e-01,3.760515538134323599e-01,2.164648023017064216e-01,3.981325437246186483e-01,3.860031341039174557e-01
2.542488279348391611e-01,4.203210753363878505e-01,2.809945901601298424e-01,3.233918980758837547e-01,3.833054694365782278e-01
3.909811081066480454e-01,3.979147224183274822e-01,2.754955602403016401e-01,3.713880938675751531e-01,3.844403242183795366e-01
2.156668070964326556e-01,3.118200087816594968e-01,2.942075411410777219e-01,3.976786578820080686e-01,3.933416328898468595e-01
4.056484571736590494e-02,2.881914911589776862e-01,3.517519202332034522e-01,4.579238650443397951e-01,3.971159650922619910e-01
3.270872602577664101e-01,4.074204478987167310e-01,2.621280389390040488e-01,4.033160136518473826e-01,3.839022312159415251e-01
4.163985847245285643e-01,4.578686909839251307e-01,2.777508044703571599e-01,3.626252318523641160e-01,3.824084226304405587e-01
